estimator_name	estimator_type	estimator_class	param_ranges	eval_command
GradientBoostingClassifier	classifier	sklearn.ensemble._gb.GradientBoostingClassifier	n_estimators:«50,200,int»;learning_rate:«0.01,1.0,float»;max_depth:«1,10,int»	clf = sklearn.ensemble._gb.GradientBoostingClassifier(n_estimators=«50,200», learning_rate=«0.01,1.0», max_depth=«1,10», random_state=0).fit(X_train, y_train)
RandomForestClassifier	classifier	sklearn.ensemble._forest.RandomForestClassifier	n_estimators:«50,300,int»;max_depth:«1,20,int»	clf = sklearn.ensemble._forest.RandomForestClassifier(n_estimators=«50,300», max_depth=«1,20», random_state=0).fit(X_train, y_train)
RandomForestRegressor	regressor	sklearn.ensemble._forest.RandomForestRegressor	n_estimators:«50,300,int»;max_depth:«1,20,int»	clf = sklearn.ensemble._forest.RandomForestRegressor(n_estimators=«50,300», max_depth=«1,20», random_state=0).fit(X_train, y_train)
HistGradientBoostingRegressor	regressor	sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor	max_iter:«50,200,int»;learning_rate:«0.01,1.0,float»	clf = sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor(max_iter=«50,200», learning_rate=«0.01,1.0», random_state=0).fit(X_train, y_train)
HistGradientBoostingClassifier	classifier	sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier	max_iter:«50,200,int»;learning_rate:«0.01,1.0,float»	clf = sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier(max_iter=«50,200», learning_rate=«0.01,1.0», random_state=0).fit(X_train, y_train)
