Concurso,Dia,Mês,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Ganhadores 6 acertos,Ganhadores 5 acertos,Ganhadores 4 acertos,Rateio 6 acertos,Rateio 5 acertos,Rateio 4 acertos,Acumulado 6 acertos,Arrecadação Total,Estimativa prêmio,Acumulado Sorteio Especial Mega da Virada
2740,22,6,2024,13,16,17,34,41,47,0,108,6950,0,38469.76,854,84242420.69,72061375,93000000,68741691.65
2618,5,8,2023,6,17,29,35,45,48,0,121,9213,0,49036.67,920.04,59396034,102911905,75000000,68737268.92
1143,9,1,2010,3,30,35,44,47,60,0,52,3686,0,24432.56,492.4,4811454.35,21700966,7000000,687350.67
1903,15,2,2017,9,10,15,28,43,45,0,41,3205,0,33533.69,612.82,2532676.2,23846886,5000000,6856158.71
2123,9,2,2019,14,15,47,50,56,59,0,28,2301,0,67090.9,1166.29,6151484.68,32582774,10000000,6848929.74
1676,7,2,2015,1,2,11,37,48,51,0,46,4406,0,40843.61,609.17,3460958.48,32091407.5,7000000,6848302.23
1990,22,11,2017,11,24,26,34,37,59,0,78,5852,0,41488.51,789.98,51219738.92,56129209.5,60000000,68420703.27
2425,3,11,2021,10,31,38,46,49,54,0,75,5048,0,57727.72,1225.26,65076031.99,75093943.5,75000000,68040735.17
2305,3,10,2020,7,16,22,38,55,57,0,124,9225,0,48190.57,925.37,89518834.75,103643721,100000000,67964668.78
1760,13,11,2015,10,24,25,36,47,48,0,206,14689,0,34046.2,682.09,86479127.04,119796096,110000000,67956618.62
1650,5,11,2014,17,23,29,38,57,60,0,133,10962,0,28160.94,488.1,36929164.09,63974315,45000000,67913704.99
2185,4,9,2019,9,18,19,22,42,47,0,115,9835,0,36432.16,608.56,73263025.8,72669009,80000000,67863717.02
2739,20,6,2024,19,25,37,45,47,53,0,79,4990,0,40920.93,925.49,76588962.21,56070170,86000000,67648340.43
1989,18,11,2017,15,22,30,32,40,58,0,47,3280,0,56106.95,1148.53,45258494.61,45738399,50000000,67569096.93
2230,1,2,2020,7,17,26,39,56,60,0,75,6440,0,61137.23,1017.14,71624488.16,79529139,80000000,6748576.78
2497,2,7,2022,5,14,23,46,48,52,0,87,6309,0,42861.28,844.35,43541372.7,64676065.5,55000000,67472973.82
2617,2,8,2023,3,14,36,42,43,44,0,83,6354,0,56735.82,1058.74,48466017.86,81676040,60000000,67175838.03
2424,30,10,2021,3,16,17,37,38,53,0,101,6968,0,41070.64,850.44,57100491.99,71946909,65000000,66901372.3
1988,16,11,2017,5,10,39,42,46,54,0,87,5711,0,29177.91,634.98,27974872.76,44029100.5,33000000,66875142.54
2343,10,2,2021,4,31,42,45,49,56,0,24,2507,0,83892.9,1147.31,7025600.31,34921728,11000000,6681299.97
2738,18,6,2024,2,19,25,44,46,60,0,75,5607,0,41783.52,798.43,53023186.23,54353255,60000000,66797615.77
2108,18,12,2018,19,22,29,41,44,59,0,58,4051,0,41585.34,850.56,45845920.47,41834506,50000000,66787334.74
2184,31,8,2019,15,36,45,51,52,59,0,64,5158,0,55232.15,979.02,65545159.82,61310991,72000000,66761164.73
2496,30,6,2022,7,26,31,38,46,58,0,50,3505,0,54371.58,1108.04,36672289.48,47152120.5,43000000,66491676.2
2304,30,9,2020,12,21,29,54,56,57,0,90,5934,0,47955.93,1039.05,78511094.25,74858998.5,90000000,66392134.4
1648,29,10,2014,15,16,18,20,22,48,0,98,5545,0,17711.66,447.18,3197419.78,29647770,7000000,66306333.55
1987,11,11,2017,10,14,31,34,45,58,0,59,3920,0,38516.27,828.15,23298729.51,39415096,29000000,66207122.08
2107,15,12,2018,8,38,44,50,56,60,0,72,5454,0,46944.97,885.33,41402855.76,58625686,48000000,66152611.19
1457,5,1,2013,15,16,34,42,46,59,0,96,6867,0,18748.79,374.43,4629202.83,30743352,7500000,661314.73
1759,10,11,2015,2,14,21,22,51,60,0,70,5957,0,50966.89,855.57,73559490.68,60938664.5,80000000,66110956.27
2737,15,6,2024,16,20,30,34,37,45,0,67,4208,0,52990.78,1205.31,47250462.9,61579250,53000000,65972940.99
2616,29,7,2023,6,16,23,35,38,49,0,103,6817,0,39221.73,846.58,39791409.84,70068555,50000000,65936608.29
1011,8,10,2008,2,11,21,30,35,52,0,113,3889,0,10999.46,319.6,10210432.01,0,12500000,6585274.33
2183,28,8,2019,13,26,30,34,43,51,0,74,6087,0,42642.36,740.57,41460901.74,54731757.5,47000000,65830939.11
2423,27,10,2021,16,18,38,48,51,60,0,40,3295,0,82766.6,1435.36,32977458.15,57421480.5,40000000,65809757.8
2495,28,6,2022,8,12,14,30,33,41,0,37,3602,0,54647.64,801.92,31664380.64,35069728.5,37000000,65776260.65
1986,9,11,2017,23,36,43,44,55,56,0,41,3164,0,46212.57,855.47,19112620.03,32863243,24000000,65609106.42
1047,11,2,2009,1,2,8,10,14,48,0,148,8110,0,6309.4,115.14,1720141.14,0,3500000,6548482.08
2106,12,12,2018,3,27,36,39,40,43,0,82,5610,0,35639.55,744.19,35176471.32,50688848,42000000,65263127.68
2303,26,9,2020,3,7,17,20,48,50,0,145,8431,0,28857.2,708.99,50738496.78,72574060.5,60000000,65256336.23
1887,20,12,2016,11,23,34,41,46,56,0,54,3496,0,40268.09,888.55,34840603.05,37715622,40000000,65208170.24
1758,7,11,2015,6,11,16,23,36,42,0,230,13800,0,21071.57,501.7,45892144.25,82781160,55000000,65172092.63
1985,7,11,2017,9,28,29,34,36,55,0,36,2503,0,38578.22,792.65,15622354.96,24088571.5,19000000,65110497.11
1789,10,2,2016,6,25,43,57,58,59,0,16,1574,0,55476.51,805.61,14902458.79,15395562,18000000,6506321.7
2736,13,6,2024,11,17,24,26,35,43,0,69,4581,0,39700.69,854.25,40710284.71,47512335,47000000,65038629.81
2182,24,8,2019,19,22,39,46,47,59,0,66,5179,0,46519.4,846.9,35648074.87,53253049.5,42000000,65000535.25
2422,23,10,2021,2,7,10,20,30,46,0,110,6942,0,26323.93,595.88,26878866.26,50223001.5,33000000,64938530.38
2615,27,7,2023,5,7,22,23,41,59,0,82,5737,0,37333.91,762.31,32349603.79,53097810,40000000,64873493.13
1984,4,11,2017,21,29,32,35,43,50,0,13,1743,0,104873.13,1117.4,13064010.38,23646889,16000000,64745019.31
1886,17,12,2016,3,7,15,40,45,54,0,72,6962,0,39561.62,584.48,30834987.47,49405237,36000000,64635939.43
1363,15,2,2012,25,35,42,45,52,57,0,36,2744,0,36166.13,677.83,2398385.4,22238800,5000000,6462436.87
2105,8,12,2018,11,13,16,24,31,46,0,106,6029,0,22882.49,574.73,29793024.64,42070290.5,36000000,64494063.86
2735,11,6,2024,5,33,46,47,53,59,0,62,4504,0,41177.36,809.75,35664118.4,44280185,40000000,64317748.89
2181,21,8,2019,1,8,19,33,36,48,0,138,8329,0,19778.72,468.15,29992295.27,47341682.5,35000000,64192566.73
1646,22,10,2014,19,23,34,40,41,58,0,126,10700,0,39714.43,668.09,49422466.37,85472367.5,60000000,64188461.26
2421,21,10,2021,2,3,32,35,48,57,0,49,3678,0,47248.93,899.24,21544806.83,40155714,26500000,64176521.88
2302,23,9,2020,18,22,25,27,43,44,0,126,6684,0,27380.62,737.35,43030587.25,59837436,50000000,64155206.28
2011,6,2,2018,2,28,32,35,54,58,0,119,5949,0,21054.02,601.64,53709650.58,43455856.5,59000000,6406516.49
1757,4,11,2015,13,25,28,37,43,56,0,311,11196,0,11158.23,442.78,36964453.62,59273746,44000000,63896708.23
1885,14,12,2016,7,14,18,23,32,59,0,88,6170,0,27665.59,563.68,25587867.65,42226884,33000000,63886350.87
2104,6,12,2018,2,10,12,27,45,56,0,79,5762,0,23992.25,469.92,25324918.26,32874912,30000000,63855762.93
2493,22,6,2022,4,9,37,43,44,56,0,149,9549,0,34422.27,767.3,68374657.73,88957993.5,80000000,63760103.71
2420,19,10,2021,5,8,29,39,44,60,0,18,2198,0,86921.91,1016.89,17279968.84,27136948.5,21000000,63567259.3
2122,6,2,2019,3,11,15,21,27,49,0,92,4938,0,15878.62,422.62,2691007.02,25337679.5,5500000,6354575.76
1155,20,2,2010,20,28,40,41,51,58,0,76,6061,0,47668.53,853.89,53368610.37,61880258,61000000,6350892.01
2180,17,8,2019,10,12,16,21,28,38,0,95,6869,0,28276.52,558.67,24964336.79,46592493.5,31000000,63474286.93
2103,4,12,2018,3,13,40,44,46,50,0,40,2226,0,34939.71,896.92,8710512.49,24240730.5,12000000,63356976.58
1981,25,10,2017,6,15,19,37,39,53,0,85,5215,0,24999.36,582.09,16157440.72,36856522.5,20000000,63355077.59
2301,19,9,2020,17,18,35,36,47,52,0,66,4333,0,44296.26,963.88,36675402.78,50707269,43000000,63247322.77
1884,10,12,2016,1,4,23,32,38,59,0,47,3839,0,43216.38,755.84,21103130.14,35230006,25000000,63245674.06
2102,1,12,2018,4,6,17,34,51,57,0,77,4557,0,25027.75,604.13,6136007.75,33425577.5,10000000,62989190.17
1756,31,10,2015,6,13,14,28,35,45,0,134,10310,0,26039.14,483.47,30571964.48,59598896,39000000,62983495.49
1645,18,10,2014,8,18,21,31,37,38,0,137,8400,0,29198.03,680.29,40204537.38,68325217.5,50000000,62871614.25
2613,22,7,2023,14,26,40,42,46,52,0,70,5774,0,80398.82,1392.42,59627878.97,97612840,70000000,62837684.98
1980,21,10,2017,12,16,17,18,34,37,0,77,4689,0,22167.05,520.02,12243066.43,29605005.5,16000000,62795881.26
2179,14,8,2019,2,13,24,35,50,54,0,55,4563,0,34715.39,597.77,20015946.48,33117017.5,24000000,62767374.01
1788,6,2,2016,3,13,42,45,56,59,0,41,3508,0,35064.86,585.46,2648319.8,24935750,3500000,6272736.38
1883,7,12,2016,16,27,28,47,59,60,0,30,2896,0,56930.77,842.5,6095905.09,29623391,9600000,62711155.64
1010,4,10,2008,2,3,13,37,46,54,0,61,4679,0,18487.52,241.02,7920807.17,0,10000000,6258185.06
2101,28,11,2018,2,8,18,37,56,58,0,61,3852,0,23013.76,520.63,2586019.52,24349150,6000000,62482048.98
2300,17,9,2020,9,21,37,39,43,54,0,76,3877,0,29541.74,827.28,31289910.51,38941159.5,36000000,62477966.72
2418,13,10,2021,2,11,19,27,57,60,0,80,3919,0,21123.67,616,6749009.06,29310183,10500000,62475447.89
2492,18,6,2022,10,30,31,33,42,52,0,65,6645,0,71634.15,1001.01,58926651.64,80759331,70000000,62410388.54
1348,22,12,2011,7,12,38,39,45,56,0,89,5009,0,15808.64,401.26,4273242.73,24032082,7000000,62406856.67
2178,10,8,2019,2,16,21,42,50,56,0,25,2304,0,63031.11,977.04,5322631.02,27331370.5,9000000,62264914.37
1882,3,12,2016,9,10,19,35,37,41,0,25,3054,0,64051.3,749.03,2949730.9,27773742.5,6000000,62261702.19
1755,28,10,2015,2,5,8,18,30,48,0,123,8784,0,23130.69,462.7,24144408.92,48595981,30000000,62065273.25
1347,20,12,2011,9,19,45,46,54,56,0,38,2940,0,24020.82,443.53,1681457.45,15591154,4000000,62036601.62
2417,9,10,2021,3,7,10,11,27,46,0,131,7708,0,15067.6,365.82,3636047.8,34235320.5,6500000,62030739.12
1978,17,10,2017,2,6,22,44,55,57,0,29,2089,0,30492.05,604.71,1628917.22,15337374.5,4000000,62014907.2
2299,15,9,2020,2,3,19,40,44,60,0,22,1903,0,55054.82,909.24,27154067.32,21007638,32000000,61887131.98
2733,6,6,2024,14,20,21,39,44,56,0,117,7450,0,47166.5,1058.19,101620509.1,95714725,112000000,61862486.44
2450,2,2,2022,2,6,11,15,17,39,0,94,5633,0,26814.82,639.24,20289204.34,43718166,26000000,6184592.04
1644,15,10,2014,10,13,16,22,34,60,0,92,8884,0,30918.2,457.39,32835875.18,48585737.5,40000000,61818948.22
1139,26,12,2009,9,28,31,36,37,42,0,25,2049,0,31748.14,553.37,61731493.11,13557048,120000000,61731493.11
2112,5,1,2019,17,39,43,46,52,53,0,34,2547,0,48935.85,933.2,4312684.25,28858417,8000000,616097.77
2298,12,9,2020,13,17,21,31,41,49,0,46,3133,0,41659.96,873.81,6032170.56,33238080,9000000,61568393.58
2342,6,2,2021,17,20,24,27,40,60,0,35,2233,0,51441.93,1151.85,3316650.89,31228029,7500000,6151450.04
2612,19,7,2023,20,27,34,44,50,54,0,50,3638,0,90719.26,1781.18,49260663.27,78673555,60000000,61356654.15
1976,11,10,2017,12,14,19,25,52,59,0,62,3551,0,24797.36,618.51,2832119.78,26666353,6000000,61345429.46
1754,24,10,2015,20,27,30,31,40,53,0,22,1958,0,79256.27,1272.17,18903483.52,29782637.5,23000000,61316569.61
1880,26,11,2016,5,16,19,37,51,56,0,65,5045,0,33082.62,608.91,14794344.48,37297494.5,20000000,61251198.12
2491,15,6,2022,22,29,38,43,48,53,0,83,6198,0,53600.57,1025.41,50349405,77162584.5,60000000,61185067.58
1345,14,12,2011,7,17,19,26,40,50,0,74,6043,0,28067.82,491,19645695.09,35477030,24000000,61115853.23
1643,11,10,2014,16,19,20,28,37,60,0,60,5152,0,45113.02,750.54,12698523.41,46233842.5,18500000,61070402.39
2297,9,9,2020,20,22,35,40,41,59,0,14,1200,0,97017.77,1616.96,2502037.19,23558008.5,6000000,61064088.78
2175,3,8,2019,7,25,32,43,53,55,0,73,5485,0,39289.03,746.99,26848778.98,49746280.5,32000000,60982114.6
2099,21,11,2018,5,15,20,27,30,58,0,97,7549,0,34495.53,633.2,60511157.87,58036464.5,70000000,60873285.26
2415,2,10,2021,10,12,26,29,35,60,0,61,4773,0,45170.89,824.7,29393937.79,47791174.5,35000000,60608403.36
1558,19,12,2013,7,15,17,31,42,54,0,186,11538,0,18644.94,429.38,44641902.75,59235314,53000000,60449153.98
2732,4,6,2024,1,3,16,18,49,60,0,94,6173,0,51300.81,1115.98,91454887.45,83639475,100000000,60410254.76
1642,8,10,2014,3,23,42,43,47,60,0,53,5355,0,41286.03,583.74,7712347.3,37375397.5,12500000,60358091.51
2174,31,7,2019,10,15,34,36,56,60,0,52,3892,0,38251.95,730.1,21565438.38,34500333,26000000,60227351.64
2611,15,7,2023,4,12,18,21,25,49,0,178,9213,0,25434.22,702,40904941.68,78523150,50000000,60162979.62
1878,19,11,2016,12,16,26,40,56,57,0,36,2981,0,58126.73,1002.8,9073702.73,36294835.5,13400000,60130474.92
2490,11,6,2022,11,16,17,41,46,59,0,65,5432,0,65482.06,1119.38,42154159.81,73823548.5,52000000,60014318.26
2098,17,11,2018,2,8,18,27,38,60,0,85,6551,0,33312.96,617.48,37805495.92,49113232,43500000,59992741.57
2680,25,1,2024,3,11,42,45,46,57,0,70,4756,0,49683.45,1044.64,57765340.28,60321065,65000000,5988811.64
2414,30,9,2021,4,5,6,14,29,38,0,39,3415,0,47324.83,772.08,24318156.63,32012005.5,29000000,59883291.75
1641,4,10,2014,23,29,30,33,46,51,0,47,4951,0,42522.2,576.66,3681526.94,34136607.5,8000000,59782260.02
