ID,Data_Dia_do_mes,Data_Dia_da_semana,Data_Hora,Imovel_Tipo_Apartamento,Imovel_Tipo_Casa,Imovel_Tipo_Casa_em_Condominio,Imovel_Tipo_Alto_Padrao,Imovel_Cod_PS,Imovel_Cod_SD,Imovel_Cod_Outro,Imovel_Venda_Valor,Imovel_Aluguel_Valor,Aluguel_Booleano,Venda_Booleano,Status_agendado_visita,Status_nao_respondeu,Status_nao_tem_opcoes,Status_enviou_opcoes,Status_verificou_anuncio,Status_outras_acoes,Status_sem_status
58,7,3,22.13,1,0,0,0,1,0,0,885000.00,0.00,0,1,0,0,0,0,0,0,1
59,7,3,17.23,1,0,0,0,1,0,0,2790000.00,0.00,0,1,0,0,0,0,0,0,1
60,7,3,12.97,1,0,0,0,0,1,0,730000.00,0.00,0,1,0,0,0,0,0,0,1
61,6,2,14.10,1,0,0,0,1,0,0,850000.00,0.00,0,1,0,0,0,0,0,0,1
62,6,2,8.10,1,0,0,0,1,0,0,520000.00,0.00,0,1,0,0,0,0,1,0,0
63,5,1,16.37,1,0,0,0,1,0,0,865000.00,0.00,0,1,0,0,0,0,1,0,0
64,5,1,12.90,1,0,0,0,1,0,0,800000.00,0.00,0,1,0,0,0,0,1,0,0
65,5,1,12.90,1,0,0,0,1,0,0,789000.00,0.00,0,1,0,0,0,0,1,0,0
66,5,1,11.03,1,0,0,0,0,1,0,330000.00,0.00,0,1,0,0,0,0,1,0,0
67,5,1,6.33,1,0,0,0,0,1,0,415000.00,0.00,0,1,0,0,0,0,0,0,1
68,4,0,18.87,1,0,0,0,0,1,0,1335494.00,0.00,0,1,0,0,0,0,0,0,1
69,4,0,15.23,0,0,1,0,0,1,0,369990.00,0.00,0,1,0,0,0,0,1,0,0
70,3,6,19.30,1,0,0,0,0,1,0,319999.00,0.00,0,1,0,0,0,0,1,0,0
71,3,6,19.30,1,0,0,0,1,0,0,340000.00,0.00,0,1,0,0,0,0,1,0,0
72,3,6,18.00,0,0,0,1,1,0,0,630000.00,0.00,0,1,0,0,0,0,1,0,0
